City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,kytmanovo,53.4593,85.4479,51.39,73,11,5.12,RU,1687801257
315,arys,42.4252,68.795,79.68,17,0,5.32,KZ,1687801257
316,adre,13.4667,22.2,88.47,34,47,7.65,TD,1687801257
317,hamilton,39.1834,-84.5333,79.72,65,75,19.57,US,1687800964
318,bilma,18.6853,12.9164,97.95,10,8,9.66,NE,1687801258
319,palmer,42.1584,-72.3287,82.0,61,100,8.05,US,1687801097
320,tautira,-17.7333,-149.15,80.13,76,33,19.22,PF,1687801258
321,bodrum,37.0383,27.4292,85.93,72,0,14.25,TR,1687801083
322,jinchang,38.4953,102.1739,73.67,27,40,6.98,CN,1687801259
323,grand island,40.925,-98.342,80.55,38,0,10.36,US,1687801259
324,gurgentepe,40.7883,37.6017,58.89,87,0,3.56,TR,1687801259
325,kadoma,34.7333,135.5833,75.2,87,100,2.3,JP,1687801259
326,sao joao do piaui,-8.3581,-42.2467,92.48,24,37,9.91,BR,1687801260
327,kuusankoski,60.907,26.6244,70.41,64,75,10.36,FI,1687801260
328,mitu,1.1983,-70.1733,90.19,51,95,1.99,CO,1687801260
329,daru,-9.0763,143.2092,77.88,87,100,15.52,PG,1687801260
330,bandarbeyla,9.4942,50.8122,75.97,78,26,30.56,SO,1687801261
331,iberia,29.9502,-91.7507,91.96,69,75,18.41,US,1687801261
332,dali,25.7,100.1833,65.32,89,84,3.04,CN,1687801261
333,bubaque,11.2833,-15.8333,81.73,76,84,9.26,GW,1687801261
334,alta floresta,-9.8756,-56.0861,105.62,24,40,4.61,BR,1687801261
335,taitung,22.7583,121.1444,79.12,79,5,3.62,TW,1687801262
336,walvis bay,-22.9575,14.5053,58.15,88,100,8.05,NA,1687801262
337,vestmannaeyjar,63.4427,-20.2734,52.79,93,100,9.22,IS,1687801262
338,palana,59.1167,159.9667,50.41,68,49,12.88,RU,1687801262
339,mahebourg,-20.4081,57.7,68.29,83,40,2.3,MU,1687801263
340,saint anthony,45.0205,-93.218,78.84,59,0,16.11,US,1687801263
341,kruisfontein,-34.0033,24.7314,55.89,96,100,11.12,ZA,1687801263
342,oistins,13.0667,-59.5333,86.09,70,40,13.8,BB,1687801263
343,iquique,-20.2208,-70.1431,68.04,78,78,5.1,CL,1687801264
344,taltal,-25.4,-70.4833,62.04,79,24,6.04,CL,1687801264
345,kaduqli,11.0167,29.7167,80.83,70,48,5.93,SD,1687801264
346,kandrian,-6.2167,149.55,73.69,97,100,4.74,PG,1687801264
347,haines junction,60.7522,-137.5108,57.15,58,98,2.3,CA,1687801265
348,padrauna,26.9025,83.9819,90.28,54,100,15.26,IN,1687801265
349,mezen,65.8522,44.24,57.61,72,19,4.56,RU,1687801265
